Comment,Author
먼가 모르게 남자답고 믿음이가는 뚝심있는 남자처럼 느껴진다 살면서 참 여러 풍파가 찾아오는데 나는 이런풍파는 분명 나에게 미흡한 부분을 보완하라고 오는 풍파라 느끼며 최대한 현명하고 침착하게 대처하려고 노력한다 하지만 쉽지 않은건 사실이다 강형욱님 또한 그러한 느낌으로 대처를 하고 있는듯 보이고 그런느낌이 참 좋게 느껴진다 고된인생 다들 파이팅,@TV-vk2ch
강형욱 정치성향궁금하다,@mongkimongki-es1wx
중립기어박길잘했다는놈들 ㅋㅋㅋ 지들이뭐라도 되는줄아노ㅋㅋㅋㅋ 지들이 판사인줄암,@mongkimongki-es1wx
다른건 사람끼리이야기라 뭐 알아서들 하시구요 레오에 대한 해명은 해명이 아니라 변명이네요 본인도 나이들어 병들고 아플때 그렇게 죽음을 맞이한다면 레오는 더 같이 있고싶었을겁니다 늘아빠를 찾았을겁니다ㅜㅜ,@user-mj8ig8rh4t
역시 세상은 인간들이 제일 무섭다,@user-ib4sk6qn5o
여성카페 여초 회원들 댓글 수준을 보니 인류애 뚝떨어지고 환멸나네요,@user-do3sg8nl9h
그런 말이 있잖아요무례한 사람이 던진 쓰레기를 내가 받으면 나는 그 쓰레기를 담고 있는 쓰레기통이 되는 거라고요그 감정의 쓰레기를 받으면 그 쓰레기는 내 것이 되지만 담아 두지 않으면 그 쓰레기는 내 뱉은 주인에게 돌아간다고 하잖아요그 분들도 어찌 보면 사회적 약자이고 상처받은 영혼들일거예요 그러니 전혀 아무렇지 않을 수 없겠지만 세상에서 제일 소중한 강형욱대표분과 아내 그리고 자녀의 소중한 인격엔 전혀 손상을 줄 수 없을 것입니다단지 인터뷰에 언급됐지만 우리 모두는 상대방을 향한 작은 배려와 친철은 늘 노력해야 되는 것 같습니다,@sjo2027
안녕하세요강대표님 저는 애완견을 키우는 사람은 아니지만 강대표님 나오는 방송은 거의 다 즐겨 애청했었던 결과 동물에 대해서 조금 더 알게 되었고 대처하는 방법 등 많은 지식을 쌓게 되어 너무 감사했었어요 본인의 직업에 대해서 열정적으로 임무를 한 사람인데 요즘 안 좋은 기사들을 보고 너무 안타까워서 댓글을 보냅니다 나쁜 세력들의 음모론비난글들 당당하게 맞서서 아닌건 분명히 해명하시고  음해하는 무리들을 상대로 떳떳하게 맞서서 해결하시는 것이 중요하다고 봅니다 유명해지다 보면 음해비난하는 나쁜 무리들이 반드시 나타나지요  왜그들의 이익을 챙길려는 욕심이죠 기죽지 마시고 당당하세요 많은 분들이 응원하고 있습니다홧팅홧팅,@user-ed2py2ge7l
야 하다못해 관상드립은 치지마라 ㅋㅋㅋㅋㅋㅋ 그런식이면 그 관상조차 알수없는 제보자들 말 어캐믿은거임ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,@user-sf3tg6gz5c
강형욱훈련사님  힘내세오  우리나라 반려문화를 많이 바꿔 주신 분입니다 항상 응원합니다,@reke3674
세상에 믿을사람 없다더니 개판이 따로 없군,@user-pz7ux2dj8g
